movie_id,title,genres,description
1,The Great Escape Plan,Action Thriller,A team of specialists plots a daring breakout from an impenetrable fortress prison.
2,Silent Orbit,Sci-Fi Drama,A lone astronaut drifts through space after losing contact with mission control.
3,Laughing Matters,Comedy,Two rival stand-up comedians are forced to share an apartment in New York City.
4,Hearts in November,Romance Drama,Two strangers reconnect every autumn at the same small-town train station.
5,Shadow Protocol,Action Spy,An undercover agent must stop a rogue arms deal before it triggers a global crisis.
6,The Last Harvest,Drama,A farming family struggles to keep their land during a brutal drought season.
7,Robo Rangers,Animation Family,A group of young inventors builds robot companions to protect their neighborhood.
8,Midnight Static,Horror,A late-night radio host starts receiving broadcasts from a station that no longer exists.
9,Comic Con Chaos,Comedy,Convention volunteers scramble to fix a disastrous mix-up before opening day.
10,Galaxy Runners,Sci-Fi Action,A crew of smugglers races across the galaxy to outrun a bounty hunter fleet.
11,The Wedding Detour,Comedy Romance,A cross-country road trip spirals out of control on the way to a best friend's wedding.
12,Iron Harvest,Action Drama,A veteran returns home to fight corporate developers threatening his hometown.
13,Whispering Pines,Horror Thriller,Campers uncover a decades-old secret buried beneath an abandoned summer camp.
14,Second Chances Café,Drama Romance,A chef rebuilds her life and her business after a devastating fire.
15,Cartoon Kingdom,Animation Family,A young princess teams up with talking forest animals to save her kingdom.
16,Quantum Heist,Sci-Fi Thriller,Scientists use experimental technology to pull off an impossible bank robbery.
17,Neighborhood Watch,Comedy,Suburban neighbors form an overzealous patrol group with hilarious results.
18,The Long Goodbye Tour,Drama Music,An aging rock star embarks on one final tour across small American towns.
19,Deep Current,Action Adventure,A salvage diver races rivals to recover treasure from a sunken warship.
20,Letters from Yesterday,Romance Drama,A woman discovers a box of old love letters that reshapes her family's history.
21,Ghost Frequency,Horror,Paranormal investigators trace a haunting to an old abandoned television station.
22,Pixel Pals,Animation Comedy,Video game characters come to life when the arcade closes for the night.
23,Skyline Uprising,Action Sci-Fi,Survivors fight back after machines take control of a futuristic megacity.
24,Coffee and Constellations,Romance Comedy,A barista and an astronomer keep colliding on their morning commutes.
25,The Vanishing Point,Thriller,A detective chases a suspect who seems to disappear without a trace.
26,Backyard Bandits,Comedy Family,Two rival kids run competing lemonade empires all summer long.
27,Frostbite Station,Horror Sci-Fi,A remote arctic research team loses contact after an unknown signal appears.
28,The Understudy,Drama,A struggling actor gets one unexpected shot at a Broadway leading role.
29,Turbo Tumble,Animation Action,Racing snails compete in the biggest garden championship of the year.
30,Harbor Lights,Romance Drama,A lighthouse keeper's quiet life changes when a stranded sailor washes ashore.
31,Blackout City,Action Thriller,A blackout across the city becomes cover for a series of coordinated heists.
32,The Punchline,Comedy Drama,A comedy writer rediscovers his voice after a public and painful career flop.
33,Orbit Eleven,Sci-Fi Adventure,A space station crew must repair critical systems before their air runs out.
34,Cabin Fourteen,Horror,Friends on a weekend getaway realize the cabin's caretaker isn't who he claims.
35,The Recipe Box,Drama Family,A granddaughter follows a trail of recipes to learn about her grandmother's past.
36,Circuit Breakers,Action Sci-Fi,Underground racers modify illegal tech to survive a citywide police crackdown.
37,First Frost,Romance,Two rival ski instructors are forced to co-lead a beginner's class all season.
38,Static Kingdom,Animation Sci-Fi,Robot citizens must restore power to their city before winter fully sets in.
39,The Alibi,Thriller Comedy,Two exes must pretend to be married to cover up an accidental crime scene.
40,Rivers End,Drama Adventure,A retired guide leads one last expedition down a dangerous river route.
