,Gender,Age,Annual Income,Spending Score,no
43,0,31,39.0,61.0,5
47,0,27,40.0,47.0,5
48,0,29,40.0,42.0,5
49,0,31,40.0,42.0,5
51,1,33,42.0,60.0,5
52,0,31,43.0,54.0,5
58,0,27,46.0,51.0,5
61,1,19,46.0,55.0,5
65,1,18,48.0,59.0,5
68,1,19,48.0,59.0,5
69,0,32,48.0,47.0,5
75,1,26,54.0,54.0,5
77,1,40,54.0,48.0,5
78,0,23,54.0,52.0,5
81,1,38,54.0,55.0,5
84,0,21,54.0,57.0,5
87,0,22,57.0,55.0,5
88,0,34,58.0,60.0,5
91,1,18,59.0,41.0,5
93,0,40,60.0,40.0,5
94,0,32,60.0,42.0,5
95,1,24,60.0,52.0,5
97,0,27,60.0,50.0,5
99,1,20,61.0,49.0,5
100,0,23,62.0,41.0,5
103,1,26,62.0,55.0,5
105,0,21,62.0,42.0,5
111,0,19,63.0,54.0,5
112,0,38,64.0,42.0,5
113,1,19,64.0,46.0,5
114,0,18,65.0,48.0,5
115,0,19,65.0,50.0,5
120,1,27,67.0,56.0,5
121,0,38,67.0,40.0,5
122,0,40,69.0,58.0,5
124,0,23,70.0,29.0,5
132,0,25,72.0,34.0,5
142,0,28,76.0,40.0,5
149,1,34,78.0,50.3248730964467,5
187,1,28,60.35678391959799,68.0,5
