Item,period_day,weekday_weekend
Bread,morning,weekend
Scandinavian,morning,weekend
Scandinavian,morning,weekend
Hot chocolate,morning,weekend
Jam,morning,weekend
Cookies,morning,weekend
Muffin,morning,weekend
Coffee,morning,weekend
Pastry,morning,weekend
Bread,morning,weekend
Medialuna,morning,weekend
Pastry,morning,weekend
Muffin,morning,weekend
Medialuna,morning,weekend
Pastry,morning,weekend
Coffee,morning,weekend
Tea,morning,weekend
Pastry,morning,weekend
Bread,morning,weekend
Bread,morning,weekend
Muffin,morning,weekend
Scandinavian,morning,weekend
Medialuna,morning,weekend
Bread,morning,weekend
Medialuna,morning,weekend
Bread,morning,weekend
Jam,morning,weekend
Coffee,morning,weekend
Tartine,morning,weekend
Pastry,morning,weekend
Tea,morning,weekend
Basket,morning,weekend
Bread,morning,weekend
Coffee,morning,weekend
Bread,morning,weekend
Medialuna,morning,weekend
Pastry,morning,weekend
Mineral water,morning,weekend
Scandinavian,morning,weekend
Bread,morning,weekend
Medialuna,morning,weekend
Coffee,morning,weekend
Hot chocolate,morning,weekend
Farm House,morning,weekend
Farm House,morning,weekend
Bread,morning,weekend
Bread,morning,weekend
Medialuna,morning,weekend
Coffee,morning,weekend
Coffee,morning,weekend
Medialuna,morning,weekend
Bread,morning,weekend
Jam,morning,weekend
Scandinavian,morning,weekend
Muffin,morning,weekend
Bread,morning,weekend
Scandinavian,morning,weekend
Fudge,morning,weekend
Scandinavian,morning,weekend
Coffee,morning,weekend
Bread,morning,weekend
Bread,morning,weekend
Jam,morning,weekend
Bread,morning,weekend
Basket,morning,weekend
Scandinavian,morning,weekend
Muffin,morning,weekend
Coffee,morning,weekend
Coffee,morning,weekend
Muffin,morning,weekend
Muffin,morning,weekend
Scandinavian,morning,weekend
Tea,morning,weekend
Bread,morning,weekend
Coffee,morning,weekend
Bread,morning,weekend
Bread,morning,weekend
Tea,morning,weekend
Scandinavian,morning,weekend
Juice,morning,weekend
Tartine,morning,weekend
Coffee,morning,weekend
Muffin,morning,weekend
Scandinavian,morning,weekend
Bread,morning,weekend
Tea,morning,weekend
Scandinavian,afternoon,weekend
Fudge,afternoon,weekend
Coffee,afternoon,weekend
Medialuna,afternoon,weekend
Coffee,afternoon,weekend
Hot chocolate,afternoon,weekend
Medialuna,afternoon,weekend
Coffee,afternoon,weekend
Ella's Kitchen Pouches,afternoon,weekend
Juice,afternoon,weekend
Bread,afternoon,weekend
Muffin,afternoon,weekend
Jam,afternoon,weekend
Coffee,afternoon,weekend
Coffee,afternoon,weekend
Coffee,afternoon,weekend
Medialuna,afternoon,weekend
Bread,afternoon,weekend
Victorian Sponge,afternoon,weekend
Bread,afternoon,weekend
Scandinavian,afternoon,weekend
Bread,afternoon,weekend
Frittata,afternoon,weekend
Coffee,afternoon,weekend
Tea,afternoon,weekend
Hearty & Seasonal,afternoon,weekend
Coffee,afternoon,weekend
Frittata,afternoon,weekend
Scandinavian,afternoon,weekend
Victorian Sponge,afternoon,weekend
Hot chocolate,afternoon,weekend
Tea,afternoon,weekend
Soup,afternoon,weekend
Tea,afternoon,weekend
Cookies,afternoon,weekend
Coffee,afternoon,weekend
Juice,afternoon,weekend
Coffee,afternoon,weekend
Coffee,afternoon,weekend
Pick and Mix Bowls,afternoon,weekend
Hearty & Seasonal,afternoon,weekend
Hearty & Seasonal,afternoon,weekend
Coffee,afternoon,weekend
Smoothies,afternoon,weekend
Coffee,afternoon,weekend
Coffee,afternoon,weekend
Cake,afternoon,weekend
Tartine,afternoon,weekend
Mighty Protein,afternoon,weekend
Tea,afternoon,weekend
Coffee,afternoon,weekend
Hearty & Seasonal,afternoon,weekend
Frittata,afternoon,weekend
Mineral water,afternoon,weekend
Hearty & Seasonal,afternoon,weekend
Mineral water,afternoon,weekend
Muffin,afternoon,weekend
